id,organization_id,url,type,species,age,gender,size,coat,tags,name,description,organization_animal_id,photos,videos,status,status_changed_at,published_at,distance,breeds.primary,breeds.secondary,breeds.mixed,breeds.unknown,colors.primary,colors.secondary,colors.tertiary,attributes.spayed_neutered,attributes.house_trained,attributes.declawed,attributes.special_needs,attributes.shots_current,environment.children,environment.dogs,environment.cats,primary_photo_cropped.small,primary_photo_cropped.medium,primary_photo_cropped.large,primary_photo_cropped.full,contact.email,contact.phone,contact.address.address1,contact.address.address2,contact.address.city,contact.address.state,contact.address.postcode,contact.address.country,animal_id,animal_type,organization_id
49525723,CA255,https://www.petfinder.com/dog/shelby-49525723/ca/red-bluff/tehama-county-department-of-animal-services-ca255/?referrer_id=9c565a8e-ef9f-4f6a-add8-4652cbcae855,Dog,Dog,Adult,Female,Large,Short,[],Shelby,Shelby is the resident shy girl. Her owner passed away and she is still adjusting to shelter life. More to...,45867676,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/1/?bust=1603167065&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/1/?bust=1603167065&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/1/?bust=1603167065&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/1/?bust=1603167065'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/2/?bust=1603167023&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/2/?bust=1603167023&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/2/?bust=1603167023&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/2/?bust=1603167023'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/3/?bust=1603167029&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/3/?bust=1603167029&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/3/?bust=1603167029&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/3/?bust=1603167029'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/4/?bust=1603167083&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/4/?bust=1603167083&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/4/?bust=1603167083&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/4/?bust=1603167083'}]",[],adopted,2020-10-22T00:22:56+0000,2020-10-20T04:11:54+0000,,Border Collie,Labrador Retriever,True,False,Black,White / Cream,,True,False,,False,True,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/1/crop/?bust=1603167065&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/1/crop/?bust=1603167065&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/1/crop/?bust=1603167065&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49525723/1/crop/?bust=1603167065,cmcclintock@tcanimals.org,(530) 527-3439,P.O. Box 38,1830 Walnut St.,Red Bluff,CA,96080,US,49525723,dog,ca255
54653758,MN305,https://www.petfinder.com/dog/silva-54653758/mn/oakdale/puppy-tails-rescue-mn305/?referrer_id=9c565a8e-ef9f-4f6a-add8-4652cbcae855,Dog,Dog,Baby,Female,Medium,Short,"['Friendly', 'Affectionate', 'Playful', 'Smart', 'Curious', 'Funny', 'Athletic', 'Loves kisses']",Silva,"All meet and greets are being held between an outdoor location in Lake Elmo or the Woodbury Petco. 

Please request...",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/1/?bust=1645097689&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/1/?bust=1645097689&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/1/?bust=1645097689&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/1/?bust=1645097689'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/2/?bust=1645097690&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/2/?bust=1645097690&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/2/?bust=1645097690&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/2/?bust=1645097690'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/3/?bust=1645097690&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/3/?bust=1645097690&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/3/?bust=1645097690&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/3/?bust=1645097690'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/4/?bust=1645097691&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/4/?bust=1645097691&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/4/?bust=1645097691&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/4/?bust=1645097691'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/5/?bust=1645097692&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/5/?bust=1645097692&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/5/?bust=1645097692&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/5/?bust=1645097692'}]","[{'embed': '<iframe title=""Video"" src=""https://www.youtube.com/embed/RPXHqNbzGRM?enablejsapi=1"" frameborder=""0"" allowfullscreen></iframe>'}]",adopted,2022-02-26T23:31:59+0000,2022-02-17T11:34:53+0000,,Australian Shepherd,Mixed Breed,True,False,White / Cream,Yellow / Tan / Blond / Fawn,,True,False,,False,True,True,True,True,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/1/?bust=1645097689&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/1/?bust=1645097689&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/1/?bust=1645097689&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54653758/1/?bust=1645097689,puppytailsrescue@hotmail.com,,,,Oakdale,MN,55128,US,54653758,dog,mn305
52744010,NJ857,https://www.petfinder.com/dog/baby-stormie-52744010/nj/whiting/jonahs-ark-animal-rescue-nj857/?referrer_id=9c565a8e-ef9f-4f6a-add8-4652cbcae855,Dog,Dog,Baby,Female,Medium,,"['Affectionate', 'Playful']",Baby Stormie,Sweet Stormie(storm) is a beauty!  She is so sweet and looking for her forever home.,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52744010/1/?bust=1630071251&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52744010/1/?bust=1630071251&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52744010/1/?bust=1630071251&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52744010/1/?bust=1630071251'}]",[],adopted,2021-09-07T13:49:34+0000,2021-08-22T17:15:27+0000,,Hound,,True,False,Gray / Blue / Silver,White / Cream,,True,False,,False,True,True,True,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52744010/1/?bust=1630071251&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52744010/1/?bust=1630071251&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52744010/1/?bust=1630071251&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52744010/1/?bust=1630071251,jonahsarkanimalrescue@gmail.com,,,,Whiting,NJ,08759,US,52744010,dog,nj857
49699009,OH274,https://www.petfinder.com/cat/mike-49699009/oh/bucyrus/humane-society-serving-crawford-co-oh274/?referrer_id=9c565a8e-ef9f-4f6a-add8-4652cbcae855,Cat,Cat,Baby,Male,Small,Short,[],Mike,This orange tabby is quite the little man. He is so affectionate and loves cuddles. He purrs nonstop and seems...,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49699009/1/?bust=1604535154&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49699009/1/?bust=1604535154&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49699009/1/?bust=1604535154&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49699009/1/?bust=1604535154'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49699009/2/?bust=1604535159&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49699009/2/?bust=1604535159&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49699009/2/?bust=1604535159&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49699009/2/?bust=1604535159'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49699009/3/?bust=1604535164&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49699009/3/?bust=1604535164&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49699009/3/?bust=1604535164&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49699009/3/?bust=1604535164'}]",[],adopted,2020-12-05T17:55:19+0000,2020-11-05T00:16:25+0000,,Domestic Short Hair,,False,False,,,,False,False,False,False,True,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49699009/1/?bust=1604535154&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49699009/1/?bust=1604535154&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49699009/1/?bust=1604535154&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49699009/1/?bust=1604535154,cchs@crawfordhumane.com,(419) 562-9149,3590 S.R. 98,,Bucyrus,OH,44820,US,49699009,cat,oh274
47631513,CA2631,https://www.petfinder.com/dog/tsunami-47631513/ca/san-diego/a-new-life-charitable-foundation-inc-ca2631/?referrer_id=9c565a8e-ef9f-4f6a-add8-4652cbcae855,Dog,Dog,Baby,Female,Small,Curly,[],Tsunami,"Tsunami is the smallest of the bunch, kind and tender and loves to follow you around. She is curious and...",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47631513/1/?bust=1584388539&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47631513/1/?bust=1584388539&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47631513/1/?bust=1584388539&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47631513/1/?bust=1584388539'}]",[],adopted,2020-03-20T20:32:23+0000,2020-03-17T07:37:53+0000,,Yorkshire Terrier,Mixed Breed,True,False,Black,,,True,False,,False,True,True,True,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47631513/1/?bust=1584388539&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47631513/1/?bust=1584388539&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47631513/1/?bust=1584388539&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47631513/1/?bust=1584388539,mzkounnas@hotmail.com,,,,San Diego,CA,92130,US,47631513,dog,ca2631
49022641,MN485,https://www.petfinder.com/cat/creamsicle-49022641/mn/st-cloud/green-acres-animal-rescue-mn485/?referrer_id=9c565a8e-ef9f-4f6a-add8-4652cbcae855,Cat,Cat,Baby,Male,Medium,,"['Playful', 'curious', 'loveable']",Creamsicle,Ollie is a sweet boy. He is very curious and loves to get into everything. He also loves to cuddle...,F2020017,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49022641/1/?bust=1600037439&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49022641/1/?bust=1600037439&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49022641/1/?bust=1600037439&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49022641/1/?bust=1600037439'}]",[],adopted,2021-10-25T17:42:27+0000,2020-09-08T22:30:42+0000,,Domestic Medium Hair,,False,False,Orange & White,,,False,True,False,False,True,True,,True,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49022641/1/?bust=1600037439&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49022641/1/?bust=1600037439&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49022641/1/?bust=1600037439&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49022641/1/?bust=1600037439,adoption@greenacresanimalrescue.org,(320) 292-9530,,,St. Cloud,MN,56301,US,49022641,cat,mn485
48860079,IA103,https://www.petfinder.com/cat/fantasia-48860079/ia/panora/panora-p-dot-et-dot-s-ia103/?referrer_id=9c565a8e-ef9f-4f6a-add8-4652cbcae855,Cat,Cat,Baby,Female,Small,Short,[],FANTASIA,"AGE: 16 - 17 weeks (as of 09/18/20)

DESCRIPTION: DSH - Gray &amp; White

LOCATION:  PETS Shelter (114 W Main...",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/4/?bust=1600434320&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/4/?bust=1600434320&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/4/?bust=1600434320&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/4/?bust=1600434320'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/1/?bust=1600434319&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/1/?bust=1600434319&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/1/?bust=1600434319&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/1/?bust=1600434319'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/2/?bust=1598213986&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/2/?bust=1598213986&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/2/?bust=1598213986&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/2/?bust=1598213986'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/3/?bust=1598301835&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/3/?bust=1598301835&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/3/?bust=1598301835&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/3/?bust=1598301835'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/5/?bust=1598301836&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/5/?bust=1598301836&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/5/?bust=1598301836&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/5/?bust=1598301836'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/6/?bust=1598301836&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/6/?bust=1598301836&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/6/?bust=1598301836&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/6/?bust=1598301836'}]",[],adopted,2020-11-01T13:09:27+0000,2020-08-23T20:20:21+0000,,Domestic Short Hair,,True,False,Gray & White,,,True,True,False,False,True,True,,True,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/4/?bust=1600434320&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/4/?bust=1600434320&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/4/?bust=1600434320&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48860079/4/?bust=1600434320,panora_pets@yahoo.com,,114 W Main Street,PO Box 144,Panora,IA,50216,US,48860079,cat,ia103
49354697,VA331,https://www.petfinder.com/dog/ripley-id-27449-2141-49354697/va/manassas/prince-william-county-animal-shelter-va331/?referrer_id=9c565a8e-ef9f-4f6a-add8-4652cbcae855,Dog,Dog,Young,Female,Medium,Short,[],Ripley (ID 27449/2141),,27449,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49354697/2/?bust=1601995193&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49354697/2/?bust=1601995193&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49354697/2/?bust=1601995193&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49354697/2/?bust=1601995193'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49354697/1/?bust=1601995193&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49354697/1/?bust=1601995193&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49354697/1/?bust=1601995193&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49354697/1/?bust=1601995193'}]",[],adopted,2020-10-06T20:18:57+0000,2020-10-06T12:50:36+0000,,Labrador Retriever,,True,False,Black,Yellow / Tan / Blond / Fawn,,False,False,,False,False,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49354697/2/crop/?bust=1601995193&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49354697/2/crop/?bust=1601995193&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49354697/2/crop/?bust=1601995193&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49354697/2/crop/?bust=1601995193,animalshelter@pwcgov.org,(703) 792-6465,14807 Bristow Road,,Manassas,VA,20112,US,49354697,dog,va331
49821309,WA476,https://www.petfinder.com/dog/penguin-49821309/wa/olympia/shaynes-rescue-wa476/?referrer_id=9c565a8e-ef9f-4f6a-add8-4652cbcae855,Dog,Dog,Baby,Male,Medium,Short,[],Penguin,"Penguin is a sweet boy. About 32 lbs. He must have a yard, He is a higher energy dog as...",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49821309/1/?bust=1605668493&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49821309/1/?bust=1605668493&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49821309/1/?bust=1605668493&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49821309/1/?bust=1605668493'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49821309/2/?bust=1605668494&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49821309/2/?bust=1605668494&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49821309/2/?bust=1605668494&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49821309/2/?bust=1605668494'}]",[],adopted,2020-11-19T04:04:36+0000,2020-11-18T03:02:56+0000,,Australian Cattle Dog / Blue Heeler,,True,False,,,,True,False,,False,True,,True,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49821309/1/?bust=1605668493&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49821309/1/?bust=1605668493&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49821309/1/?bust=1605668493&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49821309/1/?bust=1605668493,shaynesrescue@gmail.com,,,,Olympia,WA,98501,US,49821309,dog,wa476
50611098,IL245,https://www.petfinder.com/small-furry/emma-and-utch-50611098/il/chicago/friends-of-petraits-il245/?referrer_id=9c565a8e-ef9f-4f6a-add8-4652cbcae855,Small & Furry,Guinea Pig,Baby,Female,Medium,Short,[],Emma and Utch,"Emma is a nine-month-old female guinea pig looking for a loving guardian with her three-week-old daughter Utch. 

Emma is a...",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/2/?bust=1613854691&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/2/?bust=1613854691&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/2/?bust=1613854691&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/2/?bust=1613854691'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/1/?bust=1613854686&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/1/?bust=1613854686&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/1/?bust=1613854686&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/1/?bust=1613854686'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/3/?bust=1613854698&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/3/?bust=1613854698&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/3/?bust=1613854698&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/3/?bust=1613854698'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/4/?bust=1613854699&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/4/?bust=1613854699&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/4/?bust=1613854699&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/4/?bust=1613854699'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/5/?bust=1613854711&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/5/?bust=1613854711&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/5/?bust=1613854711&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/5/?bust=1613854711'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/6/?bust=1613854712&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/6/?bust=1613854712&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/6/?bust=1613854712&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/6/?bust=1613854712'}]",[],adopted,2021-03-07T03:03:21+0000,2021-02-20T21:22:17+0000,,Guinea Pig,,False,False,Brown / Chocolate,Orange / Red,,False,False,,False,False,,,,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/2/?bust=1613854691&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/2/?bust=1613854691&width=450,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/2/?bust=1613854691&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50611098/2/?bust=1613854691,friendsofpetraits@gmail.com,,,,Chicago,IL,60640,US,50611098,small-furry,il245
